id,parent_id,WILAYAH,length,,,
3215292006,321529,CENGKONG,10,,,
3215292007,321529,SUKASARI,10,,,
3215292008,321529,KARANGSARI,10,,,
321530,3215,CILEBAR,6,,,
3215302001,321530,KERTAMUKTI,10,,,
3215302002,321530,RAWASARI,10,,,
3215302003,321530,PUSAKAJAYA SELATAN,10,,,
3215302004,321530,CIKANDE,10,,,
3215302005,321530,KOSAMBIBATU,10,,,
3215302006,321530,PUSAKAJAYA UTARA,10,,,
3215302007,321530,SUKARATU,10,,,
3215302008,321530,CIPTAMARGI,10,,,
3215302009,321530,MEKARPOHACI,10,,,
3215302010,321530,TANJUNGSARI,10,,,
,,,,,,
